Code,Secteur,Indicateur,Questions de veille,Source,Organisme,Catégorie,Fréquence,Unité,Statut,Seuil d'alerte (%),Accès,Format,URL de la source,Observations en base,Période couverte,Dernier run
S1,Aérospatial,"Commandes et livraisons d'avions commerciaux (Airbus, Boeing)","QV1, QV2",Commandes et livraisons d'avions commerciaux,"Airbus, Boeing",hard,mensuelle,appareils,certifie,10,libre,Web / Excel,https://www.airbus.com,0,,
S2,Aérospatial,Trafic aérien mondial de passagers (RPK),QV2,Air Passenger Market Analysis,IATA,composite,mensuelle,indice,a_confirmer,,libre,PDF,https://www.iata.org,0,,
S3,Aérospatial,Objets lancés dans l'espace par pays,QV3,Objets lancés dans l'espace,UNOOSA / Our World in Data,hard,annuelle,nombre,certifie,80,libre,CSV,https://ourworldindata.org/space-exploration-satellites,2833,2014 → 2025,214
S4,Aérospatial,Dépenses militaires par pays,QV5,Military Expenditure Database,SIPRI,hard,annuelle,mio USD,certifie,5,libre,CSV,https://www.sipri.org/databases/milex,825,2014 → 2025,151
S5,Aérospatial,Budget de l'ESA et budgets spatiaux publics,QV5,Budgets spatiaux publics,ESA et agences nationales,composite,annuelle,mio EUR,a_confirmer,,libre,PDF,https://www.esa.int,0,,
S6,Aérospatial,Commerce mondial aéronautique et spatial (SH ch. 88),QV2,UN Comtrade : commerce international par code SH,Nations Unies,hard,annuelle,USD,certifie,20,libre_quota,API + CSV,https://comtradeplus.un.org,1758,2015 → 2025,214
S7,Aérospatial,"Avis de marchés publics UE en aéronefs et engins spatiaux (TED, CPV 347)","QV2, QV5",Tenders Electronic Daily : marchés publics UE,Office des publications de l'UE,hard,mensuelle,nombre d'avis,certifie,,libre,API,https://ted.europa.eu,203,2025-08 → 2026-08,214
S8,Aérospatial,Production aéronautique et spatiale UE (NACE C30.3),QV1,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,6,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,2892,2014-01 → 2026-06,214
S9,Aérospatial,Intensité de signalement : dynamique technologique (triage IA des flux),QV4,Intensité de signalement dans les flux qualifiés (dérivation interne),Dispositif de veille : dérivation du triage IA (v_intensite_signalement),composite,mensuelle,pourcentage,a_confirmer,,libre,sql,interne : flux_sources → flux_items → flux_triage_ia → v_intensite_signalement,1,2026-08 → 2026-08,158
A1,Automobile,Production mondiale de véhicules par pays,"QV1, QV3","Production mondiale de véhicules par pays — tableau republié dans l'annuaire du CCFA « L'industrie automobile française » (mention imprimée « Source : OICA »), document collecté ; classements top-10 de la page OICA en vérité terrain",OICA,composite,annuelle,unités,certifie,5,libre,"PDF (annuaire CCFA, https://ccfa.fr/analyses-et-statistiques/) ; tableaux web OICA pour la confrontation opportuniste",https://www.oica.net/production-statistics,323,2021 → 2024,189
A10,Automobile,Intensité de signalement : impulsions publiques (triage IA des flux),QV5,Intensité de signalement dans les flux qualifiés (dérivation interne),Dispositif de veille : dérivation du triage IA (v_intensite_signalement),composite,mensuelle,pourcentage,a_confirmer,,libre,sql,interne : flux_sources → flux_items → flux_triage_ia → v_intensite_signalement,2,2026-07 → 2026-08,158
A11,Automobile,Part électrique des ventes mondiales de voitures (IEA),QV4,Global EV Data Explorer,Agence internationale de l'énergie,hard,annuelle,pourcentage,certifie,,libre,CSV,https://www.iea.org,5320,2014 → 2025,214
A2,Automobile,"Immatriculations de voitures particulières neuves, UE27 (ACEA)",QV2,Immatriculations de véhicules neufs,ACEA,composite,mensuelle,unités,certifie,5,libre,PDF / communiqués,https://www.acea.auto,8,2025-11 → 2026-06,64
A3,Automobile,Ventes mondiales de véhicules électriques par pays,"QV2, QV3, QV4",Global EV Data Explorer,Agence internationale de l'énergie,hard,annuelle,unités,certifie,10,libre,CSV,https://www.iea.org,10452,2014 → 2025,214
A4,Automobile,Commerce mondial de parties et accessoires automobiles (SH 8708),QV2,UN Comtrade : commerce international par code SH,Nations Unies,hard,annuelle,USD,certifie,10,libre_quota,API + CSV,https://comtradeplus.un.org,2243,2015 → 2025,214
A5,Automobile,Production industrielle automobile UE (NACE C29),QV1,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,10,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,3628,2014-01 → 2026-06,214
A6,Automobile,Production d'équipements automobiles UE (NACE C29.3),"QV1, QV2",Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,6,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,2892,2014-01 → 2026-06,214
