Secteur,Code,Angle invariant,Question telle qu'elle se pose,Mécanisme causal en jeu,Criticité,Indicateurs,dont certifiés
Aérospatial,QV1,Santé structurelle,Les carnets de commandes et les cadences de livraison des avionneurs assurent-ils une charge pluriannuelle à la chaîne de sous-traitance ?,"Cycle long : le carnet donne une visibilité de plusieurs années, ce qui inverse la logique de veille. On surveille les révisions de cadence annoncées, non les retournements de demande.",dominante,2,2
Aérospatial,QV2,Demande et débouchés,La demande de transport aérien soutient-elle le renouvellement des flottes ?,"Le trafic passagers précède les commandes d'appareils de plusieurs trimestres : c'est l'indicateur avancé du cycle civil, en amont du carnet de commandes.",significative,4,3
Aérospatial,QV3,Dynamique géographique,Quels États accèdent à une capacité spatiale autonome ?,"L'entrée de nouveaux acteurs nationaux ouvre des chaînes d'approvisionnement nouvelles, mais souvent captives pour raisons de souveraineté. L'opportunité est réelle et l'accès contraint.",significative,1,1
Aérospatial,QV4,Dynamique technologique,"Quelles ruptures techniques — lanceurs réutilisables, constellations, propulsion alternative — modifient les volumes et les tolérances demandés ?",La réutilisabilité réduit le nombre de lanceurs produits tout en durcissant les exigences de qualification ; les constellations inversent la logique du secteur en demandant de la série là où le spatial était unitaire. Deux effets de sens opposé sur le volume de sous-traitance.,dominante,0,0
Aérospatial,QV5,Impulsions publiques,"Les budgets de défense et les budgets spatiaux publics progressent-ils, et sur quels programmes ?","La dépense publique EST la demande : défense et spatial institutionnel sont des marchés budgétaires. Une décision budgétaire n'est pas un signal indirect, c'est une commande à venir.",dominante,3,2
Automobile,QV1,Santé structurelle,La production automobile européenne recule-t-elle plus vite que l'industrie manufacturière dans son ensemble ?,"Cyclicité forte, amplifiée en amont : une variation de production finale se répercute sur les carnets de la sous-traitance avec un effet d'accélérateur. La comparaison à la production manufacturière totale sépare le choc sectoriel du choc conjoncturel.",dominante,3,3
Automobile,QV2,Demande et débouchés,Les immatriculations et les flux de pièces indiquent-ils une reprise ou une contraction de la demande adressable ?,"Les immatriculations mesurent la demande finale, le commerce de pièces mesure le marché directement adressable par la sous-traitance. Les deux peuvent diverger — un marché stable en véhicules peut se contracter en pièces si le contenu mécanique par véhicule diminue.",dominante,4,4
Automobile,QV3,Dynamique géographique,Le centre de gravité de la production automobile se déplace-t-il hors d'Europe ?,La délocalisation de l'assemblage final entraîne celle des chaînes d'approvisionnement de rang 1 et 2. Menace structurelle sur l'avantage de proximité géographique du sous-traitant européen.,significative,2,2
Automobile,QV4,Dynamique technologique,"L'électrification recompose-t-elle la demande de composants mécaniques, et à quel rythme selon les marchés ?","Substitution technologique à effet asymétrique : disparition des familles de pièces liées à la motorisation thermique, apparition de familles nouvelles, et diminution du nombre total de pièces usinées par véhicule. C'est la mutation la plus déterminante du portefeuille pour un décolleteur.",dominante,1,1
Automobile,QV5,Impulsions publiques,"Quelles décisions réglementaires — normes d'émission, calendrier d'interdiction du thermique, dispositifs d'incitation — modifient la composition de la demande ?","L'action publique ne finance ni n'achète : elle fixe le calendrier de la substitution technologique. Elle agit sur la composition de la demande, non sur son niveau — ce qui explique qu'aucune série statistique budgétaire ne la capte.",dominante,0,0
Horlogerie,QV1,Santé structurelle,"L'appareil productif horloger suisse se maintient-il en emplois et en établissements, indépendamment du niveau des exportations en valeur ?","La branche peut exporter davantage en valeur tout en perdant des établissements : la montée en gamme masque l'érosion du tissu de sous-traitance, qui est précisément le segment concerné par le cas d'illustration.",dominante,3,2
Horlogerie,QV2,Demande et débouchés,"Vers quels marchés de destination les exportations horlogères se déplacent-elles, et à quel rythme ?","Demande finale de luxe, très concentrée géographiquement et sensible aux chocs de change et de droits de douane. Elle se transmet à la sous-traitance avec un décalage de quelques mois.",dominante,2,2
Horlogerie,QV3,Dynamique géographique,"La production horlogère reste-t-elle concentrée en Suisse, ou des pôles concurrents captent-ils des parts du commerce mondial d'articles d'horlogerie ?","Concurrence de substitution par le milieu de gamme asiatique. Menace lente mais structurelle sur les volumes de sous-traitance, invisible dans les seules statistiques suisses.",significative,1,1
Horlogerie,QV4,Dynamique technologique,La montre connectée et les nouveaux matériaux recomposent-ils la demande de composants mécaniques ?,"Substitution technologique partielle : le produit connecté ne remplace pas le luxe mécanique mais comprime l'entrée de gamme, segment à fort volume de pièces usinées.",significative,1,1
Horlogerie,QV5,Impulsions publiques,"Quelles décisions publiques — droits de douane, accords commerciaux, réglementation Swiss made — modifient les conditions d'accès aux marchés ?","L'action publique n'est ici ni acheteuse ni finançante : elle agit sur les conditions d'accès et les règles d'origine, donc sur les prix relatifs et non sur le niveau de la demande. Le choc douanier de 2025 constitue l'exception qui rend la question observable.",marginale,1,0
Médical,QV1,Santé structurelle,La base productive medtech européenne et suisse croît-elle en volume et en emplois ?,"Secteur défensif, peu cyclique : la production suit la demande démographique. Tout décrochage est donc un signal structurel et non une fluctuation conjoncturelle.",significative,3,2
Médical,QV2,Demande et débouchés,"Quels pays accroissent leurs importations d'instruments médicaux, et leurs dépenses de santé le confirment-elles ?",Demande solvabilisée par les systèmes de santé : le budget public précède la commande hospitalière avec un décalage long. Le croisement des deux séries distingue la croissance financée de la croissance annoncée.,dominante,4,4
Médical,QV3,Dynamique géographique,"Où se localise la production d'instruments médicaux, et la position suisse s'y érode-t-elle ?","Les barrières réglementaires (MDR européen, homologation FDA) freinent les délocalisations : la géographie bouge lentement, ce qui rend tout mouvement observé significatif.",significative,2,1
Médical,QV4,Dynamique technologique,"Quelles mutations techniques — chirurgie mini-invasive, robotique, implants personnalisés — recomposent la demande de pièces de précision ?","Chaque génération d'instruments modifie les tolérances, les matériaux et les volumes demandés au sous-traitant. L'antériorité du signal se lit dans les dépôts de brevets, plusieurs années avant la commande.",dominante,2,2
Médical,QV5,Impulsions publiques,"Comment évoluent les dépenses publiques de santé, et quels programmes d'équipement en découlent ?",Déterminant médiatisé : la dépense publique solvabilise la demande hospitalière sans être elle-même la commande. Décalage de plusieurs années entre arbitrage budgétaire et appel d'offres.,significative,2,2
Socle transversal,QV0,Attribution,"Le mouvement observé sur un secteur est-il propre à ce secteur, ou porté par la conjoncture générale ?","Sans référentiel commun, un recul sectoriel est ininterprétable : une baisse des exportations ne se lit pas de la même manière selon que le commerce mondial recule ou progresse. Le socle transversal fournit le dénominateur de l'attribution.",dominante,11,11
